cohort,cohort_label,n,r2,mae,rmse
mid_major_to_mid_major,Mid-Major -> Mid-Major,863,0.2963964534484608,2.6598342961163453,3.798788988662267
mid_major_to_big_west,Mid-Major -> Big West,31,0.03320895718015249,2.911132689419645,3.661504612175292
power_to_big_west,Power -> Big West,6,0.07692678444715284,2.9962277265865853,3.460851435592473
power_to_mid_major,Power -> Mid-Major,162,0.2586185133234967,3.14647407439865,4.443758801953401
