Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
Nakyhi Harris,Daemen College,East Coast,G,75,Fr,35,536,15.3,1.9,4.6,0.407,0.9,2.4,0.353,0.7,0.9,0.719,186,5.3,25,42,67,1.9,1.2,14,16,14,5,0.4,0.4,1.2,0.7142857142857143,0.1428571428571428,0.4571428571428571,0.5108695652173914,0.5217391304347826,0.875,0.1956521739130435,18.614891913530823,0.0391716417910447,13.880597014925373,5.0,1.044776119402985,1.044776119402985,0.3731343283582089,1.1940298507462686,-0.7664881060231997,-2.0911439380427383,0.20841029880490541,0.5139612325407515
Jaiden Harrison,Daemen College,East Coast,G,75,So,35,389,11.1,1.3,3.4,0.383,0.7,2.1,0.315,0.3,0.4,0.733,126,3.6,14,32,46,1.3,1.0,18,16,9,2,0.5142857142857142,0.2571428571428571,0.9142857142857144,0.4,0.0571428571428571,0.4571428571428571,0.4852941176470588,0.6176470588235294,1.125,0.1176470588235294,17.61744966442953,0.0503239074550128,12.956298200514135,4.730077120822623,1.8508997429305911,0.9254498714652956,0.2056555269922879,1.6452442159383032,-1.6823689058452536,-1.9226364469107058,0.0330052934882322,0.46042099122359775
Oliver Spence,District of Columbia,East Coast,F/C,82,Fr,24,617,25.7,5.5,10.3,0.538,0.0,0.0,0.0,2.3,4.1,0.551,319,13.3,48,113,161,6.7,2.0,23,39,14,28,0.9583333333333334,0.5833333333333334,4.708333333333333,2.0,1.1666666666666667,1.625,0.5339805825242718,0.0,0.5897435897435898,0.3980582524271844,13.177461996034369,0.0828265802269043,20.680713128038896,10.437601296596435,1.4910858995137763,0.907617504051864,1.815235008103728,2.5283630470016205,3.8875134873844406,0.21952645632461942,0.3697330515422395,0.29727399373668534
Rejuan Gray,District of Columbia,East Coast,F,79,Jr.,22,651,29.6,4.8,10.7,0.447,0.5,2.0,0.233,2.4,2.9,0.825,273,12.4,13,73,86,3.9,1.5,55,55,16,16,2.5,0.7272727272727273,3.3181818181818183,0.5909090909090909,0.7272727272727273,2.5,0.4719626168224299,0.1869158878504673,1.0,0.2710280373831776,11.397795591182366,0.1028817204301075,16.774193548387096,5.2841781874039935,3.3794162826420893,0.9831029185867896,0.9831029185867896,3.3794162826420893,0.7082879999654726,0.7312373588646901,-0.35598471270294707,0.33475237692343124
Michael Harrell,District of Columbia,East Coast,G,74,Sr,24,722,30.1,4.1,8.1,0.503,0.8,2.3,0.357,2.1,2.8,0.761,266,11.1,36,108,144,6.0,2.5,46,53,30,7,1.9166666666666667,1.25,4.5,1.5,0.2916666666666667,2.2083333333333335,0.5555555555555556,0.2839506172839506,0.8679245283018868,0.345679012345679,14.252036005143594,0.0863324099722991,14.736842105263158,7.977839335180056,2.548476454293629,1.6620498614958448,0.3878116343490304,2.9362880886426597,0.6856016618718201,1.004148792325737,0.7480895948403962,0.40639939045734036
Ty Williams,District of Columbia,East Coast,G,74,Jr.,14,386,27.6,3.7,9.9,0.377,0.6,3.2,0.178,2.6,3.6,0.72,148,10.6,15,27,42,2.9,1.1,58,48,32,0,4.142857142857143,2.2857142857142856,1.9285714285714288,1.0714285714285714,0.0,3.4285714285714284,0.404040404040404,0.3232323232323232,1.2083333333333333,0.3636363636363636,6.4437478230581675,0.1541036269430052,15.33678756476684,4.352331606217616,6.010362694300518,3.3160621761658033,0.0,4.974093264248705,-1.5953322573295705,4.347336658088068,-0.8100320596467389,0.6043409191105428
Arthur Roache,District of Columbia,East Coast,F,76,Jr.,24,571,23.8,3.0,6.5,0.459,0.5,1.7,0.317,2.5,3.1,0.787,216,9.0,34,74,108,4.5,2.1,30,30,21,9,1.25,0.875,3.0833333333333335,1.4166666666666667,0.375,1.25,0.5,0.2615384615384615,1.0,0.4769230769230769,13.733468972533062,0.0663117338003502,15.131348511383536,7.565674255691769,2.1015761821366024,1.4711033274956218,0.6304728546409808,2.1015761821366024,0.9158980085336897,0.2876372821591023,0.45071005250200996,-0.1288703283101264
Kevon Corley,District of Columbia,East Coast,F,78,Jr.,23,352,15.3,2.1,4.9,0.429,0.5,1.5,0.353,2.0,2.3,0.849,154,6.7,9,46,55,2.5,1.3,21,37,9,7,0.9130434782608696,0.391304347826087,2.0,0.391304347826087,0.3043478260869565,1.608695652173913,0.4795918367346938,0.3061224489795918,0.5675675675675675,0.4693877551020407,13.024357239512854,0.1219090909090909,17.5,6.25,2.3863636363636367,1.0227272727272727,0.7954545454545454,4.204545454545455,0.6393819530277873,0.749161606407625,-1.0540649913400875,1.3337383688116777
David Pope,District of Columbia,East Coast,F,79,Sr,23,350,15.2,1.9,5.0,0.383,0.4,1.9,0.233,0.6,0.9,0.619,110,4.8,14,48,62,2.7,1.1,23,23,14,23,1.0,0.6086956521739131,2.0869565217391304,0.6086956521739131,1.0,1.0,0.42,0.38,1.0,0.18,10.192735359525576,0.0811314285714285,12.571428571428571,7.085714285714285,2.628571428571429,1.6,2.628571428571429,2.628571428571429,0.6052556902667136,-0.13592321831145862,-1.6952592699388476,-0.4601480068174925
Darnell Dantzler,District of Columbia,East Coast,G,71,Fr,23,467,20.3,1.2,4.0,0.304,0.3,1.5,0.2,1.0,1.6,0.611,85,3.7,7,23,30,1.3,2.0,74,39,25,2,3.217391304347826,1.0869565217391304,1.0,0.3043478260869565,0.0869565217391304,1.6956521739130437,0.3374999999999999,0.375,1.8974358974358976,0.4,9.034863945578232,0.0935845824411134,7.28051391862955,2.569593147751606,6.338329764453961,2.1413276231263385,0.171306209850107,3.340471092077088,-3.0505532160782347,2.511034436664919,-0.7409550985881691,-1.5174555114161845
