cohort,cohort_label,n,r2,mae,rmse
mid_major_to_mid_major,Mid-Major -> Mid-Major,863,0.6143849696418542,1.7015669772964779,2.445262330008821
mid_major_to_big_west,Mid-Major -> Big West,31,0.5791569239988004,1.9533576242385373,2.4640876022320013
power_to_big_west,Power -> Big West,6,0.15470673056319617,1.9919903914133708,2.465862172036806
power_to_mid_major,Power -> Mid-Major,162,0.4831081411622645,2.0382909543720293,3.021897043468678
