cohort,cohort_label,n,r2,mae,rmse
power_to_mid_major,Power -> Mid-Major,162,-0.11337184101431119,4.2324215239780285,6.9097360757421065
mid_major_to_mid_major,Mid-Major -> Mid-Major,863,0.059586768412257074,4.249527027792397,6.638131294744931
power_to_big_west,Power -> Big West,6,-0.49473865478043,4.343550984875657,5.753850917660189
mid_major_to_big_west,Mid-Major -> Big West,31,0.11659216150823326,4.669484149058231,6.8189827315887
