cohort,cohort_label,n,r2,mae,rmse
mid_major_to_mid_major,Mid-Major -> Mid-Major,863,0.5144866773375391,3.919955728293382,5.253099213774527
power_to_mid_major,Power -> Mid-Major,162,0.4313393629908564,4.233185428058965,5.86295553014837
mid_major_to_big_west,Mid-Major -> Big West,31,0.40241357668806144,4.43101240243801,6.425923130717146
power_to_big_west,Power -> Big West,6,0.23224458564270622,4.749810078073214,6.606579698014106
